id	lemma	pure	translit	full_definition
H62	אָבֵל בֵּית־מֲעַכָה	אבל ביתמעכה	ʼÂbêl Bêyth-Măʻakâh	Abel Beth Maachah = "meadow of the house of Maachah" 1) city in northern Israel near Beth Maachah exegesis:from אָבֵל H58 and בַּיִת H1004 and מַעֲכָה H4601 ; meadow of Beth-Maakah; explanation: Abel of Beth-maakah , a place in Palestine translation:Abel-beth-maachah, Abel of Beth-maachah,
H63	אָבֵל הַשִּׁטִּים	אבל השטים	ʼÂbêl hash-Shiṭṭîym	Abel Shittim = "meadow of acacias" 1) place in lowlands of Moab exegesis:from אָבֵל H58 and the plural of שִׁטָּה H7848 , with the article inserted; meadow of the acacias; explanation: Abel hash-Shittim , a place in Palestine translation:Abelshittim.
H64	אָבֵל כְּרָמִים	אבל כרמים	ʼÂbêl Kᵉrâmîym	Abel Keramim = "meadow of the vineyards" 1) a place in Ammon exegesis:from אָבֵל H58 and the plural of כֶּרֶם H3754 ; meadow of vineyards; explanation: Abel-Keramim , a place in Palestine translation:plain of the vineyards.
H65	אָבֵל מְחוֹלָה	אבל מחולה	ʼÂbêl Mᵉchôwlâh	Abel Meholah = "meadow of dancing" 1) a city of Issachar, birthplace of Elisha exegesis:from אָבֵל H58 and מְחֹלָה H4246 ; meadow of dancing; explanation: Abel-Mecholah , a place in Palestine translation:Abel-meholah.
H66	אַבֵל מַיִם	אבל מים	ʼAbêl Mayim	Abel Maim = "meadow of waters" 1) a city in northern Israel (perhaps Abel Beth Maachah) exegesis:from אָבֵל H58 and מַיִם H4325 ; meadow of water; explanation: Abel-Majim , a place in Palestine translation:Abel-maim.
H67	אָבֵל מִצְרַיִם	אבל מצרים	ʼÂbêl Mitsrayim	Abel Mizraim = "meadow of Egypt" 1) a place east of the Jordan (perhaps "as fertile as Egypt") exegesis:from אָבֵל H58 and מִצְרַיִם H4714 ; meadow of Egypt; explanation: Abel-Mitsrajim , a place in Palestine translation:Abel-mizraim.
H68	אֶבֶן	אבן	ʼeben	[G:references: G2729,G3035,G3037,G3398,G5464] 1) stone (large or small) 1a) common stone (in natural state) 1b) stone, as material 1b1) of tablets 1b2) marble, hewn stones 1c) precious stones, stones of fire 1d) stones containing metal (ore), tool for work or weapon 1e) weight 1f) plummet (stones of destruction) also made of metal 1g) stonelike objects, eg hailstones, stony heart, ice 1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines 1i) (simile) 1i1) sinking in water, motionlessness 1i2) strength, firmness, solidity 1i3) commonness 1j) (metaph) 1j1) petrified with terror 1j2) perverse, hard heart exegesis:from the root of בָּנָה H1129 through the meaning to build; explanation: a stone translation:[phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).
H69	אֶבֶן	אבן	ʼeben	1) stone 1a) a (the) stone 1b) stone, material of idols and buildings exegesis:(Aramaic) corresponding to אֶבֶן H68 explanation:{ a stone } translation:stone.
H70	אֹבֶן	אבן	ʼôben	1) wheel, disc 1a) potter's wheel 1b) bearing-stool, midwife's stool exegesis:from the same as אֶבֶן H68 ; explanation: a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between) translation:wheel, stool.
H71	אֲבָנָה	אבנה	ʼĂbânâh	1) river Abana, Syrian river flowing through Damascus exegesis:perhaps feminine of אֶבֶן H68 ; stony; Compare אֲמָנָה H549 . explanation: Abanah , a river near Damascus translation:Abana.
H72	אֶבֶן הָעֵזֶר	אבן העזר	ʼEben hâ-ʻÊzer	Ebenezer = "stone of help" 1) memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem exegesis:from אֶבֶן H68 and עֵזֶר H5828 with the article inserted; stone of the help; explanation: Eben-ha-Ezer , a place in Palestine translation:Ebenezer.
H73	אַבְנֵט	אבנט	ʼabnêṭ	[G:references: G2223,G4735] 1) girdle, sash, waistband 1a) of high priest 1b) of other priests 1c) of high official exegesis:of uncertain derivation; explanation: a belt translation:girdle.
H74	אַבְנֵר	אבנר	ʼAbnêr	Abner = "my father is a lamp" 1) Saul's cousin and army captain, treacherously slain by Joab exegesis:or (fully) אֲבִינֵר H ; from אָב H1 and נִיר H5216 ; father of light (i.e. enlightening); explanation: Abner , an Israelite translation:Abner.
H75	אָבַס	אבס	ʼâbaç	[G:references: G4618] 1) to feed, fatten 1a) (Qal) fattened (passive participle) exegesis:a primitive root; explanation: to fodder translation:fatted, stalled.
H76	אֲבַעְבֻּעָה	אבעבעה	ʼăbaʻbuʻâh	1) blisters, boils (from root, to swell up) exegesis:(by reduplication) from an unused root (meaning to belch forth); explanation: an inflammatory pustule (as eruption) translation:blains.
H77	אֶבֶץ	אבץ	ʼEbets	Abez = "I will make white (or miry)" 1) a city in Issachar exegesis:from an unused root probably meaning to gleam; conspicuous; explanation: Ebets , a place in Palestine translation:Abez.
H78	אִבְצָן	אבצן	ʼIbtsân	Ibzan, "their whiteness (literally their tin — as white" 1) a Bethlehemite judge in time of the judges exegesis:from the same as אֲבַעְבֻּעָה H76 ; splendid; explanation: Ibtsan , an Israelite translation:Ibzan.
H79	אָבַק	אבק	ʼâbaq	1) (Niphal) to wrestle, grapple (get dusty), bedust exegesis:a primitive root, probably to float away (as vapor), but used only as denominative from אָבָק H80 ; explanation: to bedust , i.e. grapple translation:wrestle.
H80	אָבָק	אבק	ʼâbâq	[G:references: G2868] 1) dust 1a) on ground 1b) clouds (fig.) exegesis:from root of אָבַק H79 ; explanation: light particles (as volatile) translation:(small) dust, powder.
H81	אֲבָקָה	אבקה	ʼăbâqâh	1) aromatic powders, powder exegesis:feminine of אָבָק H80 explanation:{ light particles (as volatile)} translation:powder.
H82	אָבַר	אבר	ʼâbar	1) (Hiphil) to fly (to move wings) exegesis:a primitive root; explanation: to soar translation:fly.
H83	אֵבֶר	אבר	ʼêber	1) pinion, wing 1a) of bird (dove, eagle) 1b) of Babylonian king (fig.) exegesis:from אָבַר H82 ; explanation: a pinion translation:(long-) wing(-ed).
H84	אֶבְרָה	אברה	ʼebrâh	1) pinion, wing 1a) of bird (ostrich, eagle, dove) 1b) of God (metaph) exegesis:feminine of אֵבֶר H83 explanation:{ a pinion } translation:feather, wing.
H85	אַבְרָהָם	אברהם	ʼAbrâhâm	[G:references: G11] Abraham = "father of a multitude" or "chief of multitude" 1) friend of God and founder of Hebrew nation via God's elective covenant exegesis:contracted from אָב H1 and an unused root (probably meaning to be populous); father of a multitude; explanation: Abraham , the later name of Abram translation:Abraham.
H86	אַבְרֵךְ	אברך	ʼabrêk	1) (meaning dubious) -a shout made to announce Joseph's chariot 1a) command 1b) bow exegesis:probably an Egyptian word meaning explanation: kneel translation:bow the knee.
H87	אַבְרָם	אברם	ʼAbrâm	Abram = "exalted father" 1) original name of Abraham exegesis:contracted from אֲבִירָם H48 ; high father; explanation: Abram , the original name of Abraham translation:Abram.
